run_label,paper_model_label,task_set_label,condition,rows,model_avg_ms,model_median_ms,model_p95_ms,model_max_ms,total_avg_ms,total_median_ms,total_p95_ms,total_max_ms,aegis_avg_ms,aegis_median_ms,aegis_p95_ms,aegis_max_ms
frontier_temp_0.7_10_run,frontier_model_a,42-task full corpus,aegis_governed_mesh_agent,420,2259.608,2125.104,3119.348,8196.526,2285.057,2148.228,3144.838,8223.552,30.253,25.982,65.182,165.315
frontier_temp_0.7_10_run,frontier_model_a,42-task full corpus,plain_mesh_agent,420,2213.074,2079.705,3085.25,8550.011,2213.461,2080.111,3085.726,8550.368,N/A,N/A,N/A,N/A
frontier_temp_0.7_10_run,frontier_model_a,42-task full corpus,prompt_policy_mesh_agent,420,2230.097,2110.052,3055.836,7833.598,2230.593,2110.694,3056.247,7834.141,N/A,N/A,N/A,N/A
frontier_temp_0_10_run,frontier_model_a,42-task full corpus,aegis_governed_mesh_agent,420,2373.531,2237.976,3356.998,8748.898,2397.586,2257.368,3382.775,8749.304,26.949,25.598,30.908,70.332
frontier_temp_0_10_run,frontier_model_a,42-task full corpus,plain_mesh_agent,420,2428.926,2286.387,3399.241,13536.634,2429.348,2286.788,3399.631,13536.961,N/A,N/A,N/A,N/A
frontier_temp_0_10_run,frontier_model_a,42-task full corpus,prompt_policy_mesh_agent,420,2448.63,2266.301,3477.713,23666.538,2449.171,2266.831,3478.154,23667.002,N/A,N/A,N/A,N/A
frontier_temp_1.0_10_run,frontier_model_a,42-task full corpus,aegis_governed_mesh_agent,420,2352.051,2174.201,3155.183,12840.16,2377.281,2195.262,3182.185,12865.383,29.935,26.241,64.528,85.523
frontier_temp_1.0_10_run,frontier_model_a,42-task full corpus,plain_mesh_agent,420,2339.181,2214.736,3170.372,8419.736,2339.551,2215.061,3170.763,8420.062,N/A,N/A,N/A,N/A
frontier_temp_1.0_10_run,frontier_model_a,42-task full corpus,prompt_policy_mesh_agent,420,2351.336,2198.467,3171.959,10734.653,2351.793,2198.916,3172.368,10735.108,N/A,N/A,N/A,N/A
gemma_10_run,open_model_a,42-task full corpus,aegis_governed_mesh_agent,420,83703.625,68728.855,193271.018,267478.166,83738.172,68753.649,193353.277,267547.166,39.76,26.896,66.848,237.897
gemma_10_run,open_model_a,42-task full corpus,plain_mesh_agent,420,16729.225,15988.35,21285.201,57434.8,16730.885,15989.367,21286.179,57497.585,N/A,N/A,N/A,N/A
gemma_10_run,open_model_a,42-task full corpus,prompt_policy_mesh_agent,420,15862.776,15727.321,17600.015,51606.071,15864.129,15729.407,17600.966,51607.145,N/A,N/A,N/A,N/A
stubbed_10_run,stub_model,42-task full corpus,aegis_governed_mesh_agent,420,0.004,0.004,0.006,0.02,28.804,28.047,33.861,71.284,28.504,27.754,33.58,71.003
stubbed_10_run,stub_model,42-task full corpus,plain_mesh_agent,420,0.002,0.002,0.004,0.019,0.119,0.111,0.178,0.278,N/A,N/A,N/A,N/A
stubbed_10_run,stub_model,42-task full corpus,prompt_policy_mesh_agent,420,0.002,0.002,0.003,0.014,0.144,0.14,0.183,0.365,N/A,N/A,N/A,N/A
