run_label,paper_model_label,condition,aegis_decision_ms
gemma,open_model_a,aegis_governed_mesh_agent,258.824
gemma,open_model_a,aegis_governed_mesh_agent,33.892
gemma,open_model_a,aegis_governed_mesh_agent,33.688
gemma,open_model_a,aegis_governed_mesh_agent,34.079
gemma,open_model_a,aegis_governed_mesh_agent,28.882
gemma,open_model_a,aegis_governed_mesh_agent,35.237
gemma,open_model_a,aegis_governed_mesh_agent,35.223
gemma,open_model_a,aegis_governed_mesh_agent,28.697
gemma,open_model_a,aegis_governed_mesh_agent,26.398
gemma,open_model_a,aegis_governed_mesh_agent,28.68
gemma,open_model_a,aegis_governed_mesh_agent,32.582
gemma,open_model_a,aegis_governed_mesh_agent,25.252
gemma,open_model_a,aegis_governed_mesh_agent,26.569
gemma,open_model_a,aegis_governed_mesh_agent,27.434
gemma,open_model_a,aegis_governed_mesh_agent,22.394
gemma,open_model_a,aegis_governed_mesh_agent,23.923
gemma,open_model_a,aegis_governed_mesh_agent,26.815
gemma,open_model_a,aegis_governed_mesh_agent,74.936
gemma,open_model_a,aegis_governed_mesh_agent,27.931
gemma,open_model_a,aegis_governed_mesh_agent,28.592
gemma,open_model_a,aegis_governed_mesh_agent,26.928
gemma,open_model_a,aegis_governed_mesh_agent,35.197
gemma,open_model_a,aegis_governed_mesh_agent,32.559
gemma,open_model_a,aegis_governed_mesh_agent,27.53
gemma,open_model_a,aegis_governed_mesh_agent,31.292
gemma,open_model_a,aegis_governed_mesh_agent,24.145
gemma,open_model_a,aegis_governed_mesh_agent,27.668
gemma,open_model_a,aegis_governed_mesh_agent,23.005
gemma,open_model_a,aegis_governed_mesh_agent,23.561
gemma,open_model_a,aegis_governed_mesh_agent,26.736
gemma,open_model_a,aegis_governed_mesh_agent,34.737
gemma,open_model_a,aegis_governed_mesh_agent,26.529
gemma,open_model_a,aegis_governed_mesh_agent,26.359
gemma,open_model_a,aegis_governed_mesh_agent,26.609
gemma,open_model_a,aegis_governed_mesh_agent,31.173
