run_label,paper_model_label,condition,aegis_decision_ms
stubbed,stub_model,aegis_governed_mesh_agent,119.082
stubbed,stub_model,aegis_governed_mesh_agent,59.787
stubbed,stub_model,aegis_governed_mesh_agent,57.269
stubbed,stub_model,aegis_governed_mesh_agent,21.585
stubbed,stub_model,aegis_governed_mesh_agent,57.78
stubbed,stub_model,aegis_governed_mesh_agent,62.757
stubbed,stub_model,aegis_governed_mesh_agent,59.811
stubbed,stub_model,aegis_governed_mesh_agent,57.352
stubbed,stub_model,aegis_governed_mesh_agent,58.449
stubbed,stub_model,aegis_governed_mesh_agent,55.675
stubbed,stub_model,aegis_governed_mesh_agent,57.446
stubbed,stub_model,aegis_governed_mesh_agent,21.925
stubbed,stub_model,aegis_governed_mesh_agent,56.988
stubbed,stub_model,aegis_governed_mesh_agent,56.996
stubbed,stub_model,aegis_governed_mesh_agent,55.596
stubbed,stub_model,aegis_governed_mesh_agent,59.743
stubbed,stub_model,aegis_governed_mesh_agent,57.781
stubbed,stub_model,aegis_governed_mesh_agent,58.837
stubbed,stub_model,aegis_governed_mesh_agent,59.722
stubbed,stub_model,aegis_governed_mesh_agent,57.648
stubbed,stub_model,aegis_governed_mesh_agent,57.207
stubbed,stub_model,aegis_governed_mesh_agent,57.416
stubbed,stub_model,aegis_governed_mesh_agent,59.431
stubbed,stub_model,aegis_governed_mesh_agent,59.38
stubbed,stub_model,aegis_governed_mesh_agent,58.909
stubbed,stub_model,aegis_governed_mesh_agent,56.331
stubbed,stub_model,aegis_governed_mesh_agent,57.398
stubbed,stub_model,aegis_governed_mesh_agent,57.626
stubbed,stub_model,aegis_governed_mesh_agent,58.15
stubbed,stub_model,aegis_governed_mesh_agent,57.45
stubbed,stub_model,aegis_governed_mesh_agent,56.808
stubbed,stub_model,aegis_governed_mesh_agent,58.417
stubbed,stub_model,aegis_governed_mesh_agent,57.822
stubbed,stub_model,aegis_governed_mesh_agent,57.593
stubbed,stub_model,aegis_governed_mesh_agent,56.533
stubbed,stub_model,aegis_governed_mesh_agent,55.199
stubbed,stub_model,aegis_governed_mesh_agent,58.657
stubbed,stub_model,aegis_governed_mesh_agent,55.369
stubbed,stub_model,aegis_governed_mesh_agent,56.454
stubbed,stub_model,aegis_governed_mesh_agent,57.118
stubbed,stub_model,aegis_governed_mesh_agent,56.859
stubbed,stub_model,aegis_governed_mesh_agent,58.319
