run_label,paper_model_label,condition,aegis_decision_ms
stubbed,stub_model,aegis_governed_mesh_agent,80.162
stubbed,stub_model,aegis_governed_mesh_agent,28.937
stubbed,stub_model,aegis_governed_mesh_agent,21.843
stubbed,stub_model,aegis_governed_mesh_agent,21.73
stubbed,stub_model,aegis_governed_mesh_agent,22.046
stubbed,stub_model,aegis_governed_mesh_agent,22.154
stubbed,stub_model,aegis_governed_mesh_agent,25.101
stubbed,stub_model,aegis_governed_mesh_agent,23.574
stubbed,stub_model,aegis_governed_mesh_agent,21.92
stubbed,stub_model,aegis_governed_mesh_agent,23.111
stubbed,stub_model,aegis_governed_mesh_agent,23.171
stubbed,stub_model,aegis_governed_mesh_agent,22.473
stubbed,stub_model,aegis_governed_mesh_agent,21.018
stubbed,stub_model,aegis_governed_mesh_agent,20.603
stubbed,stub_model,aegis_governed_mesh_agent,21.191
stubbed,stub_model,aegis_governed_mesh_agent,22.834
stubbed,stub_model,aegis_governed_mesh_agent,20.736
stubbed,stub_model,aegis_governed_mesh_agent,20.51
stubbed,stub_model,aegis_governed_mesh_agent,25.167
stubbed,stub_model,aegis_governed_mesh_agent,26.723
stubbed,stub_model,aegis_governed_mesh_agent,26.69
stubbed,stub_model,aegis_governed_mesh_agent,22.626
stubbed,stub_model,aegis_governed_mesh_agent,22.118
stubbed,stub_model,aegis_governed_mesh_agent,22.179
stubbed,stub_model,aegis_governed_mesh_agent,22.889
stubbed,stub_model,aegis_governed_mesh_agent,27.309
stubbed,stub_model,aegis_governed_mesh_agent,21.893
stubbed,stub_model,aegis_governed_mesh_agent,22.376
stubbed,stub_model,aegis_governed_mesh_agent,22.767
stubbed,stub_model,aegis_governed_mesh_agent,23.226
stubbed,stub_model,aegis_governed_mesh_agent,20.286
stubbed,stub_model,aegis_governed_mesh_agent,21.972
stubbed,stub_model,aegis_governed_mesh_agent,22.744
stubbed,stub_model,aegis_governed_mesh_agent,21.869
stubbed,stub_model,aegis_governed_mesh_agent,23.774
stubbed,stub_model,aegis_governed_mesh_agent,23.137
stubbed,stub_model,aegis_governed_mesh_agent,23.852
stubbed,stub_model,aegis_governed_mesh_agent,21.42
stubbed,stub_model,aegis_governed_mesh_agent,22.222
stubbed,stub_model,aegis_governed_mesh_agent,23.605
stubbed,stub_model,aegis_governed_mesh_agent,21.242
stubbed,stub_model,aegis_governed_mesh_agent,22.733
gemma,open_model_a,aegis_governed_mesh_agent,273.506
gemma,open_model_a,aegis_governed_mesh_agent,69.047
gemma,open_model_a,aegis_governed_mesh_agent,69.333
gemma,open_model_a,aegis_governed_mesh_agent,64.326
gemma,open_model_a,aegis_governed_mesh_agent,75.38
gemma,open_model_a,aegis_governed_mesh_agent,77.381
gemma,open_model_a,aegis_governed_mesh_agent,57.634
gemma,open_model_a,aegis_governed_mesh_agent,71.124
gemma,open_model_a,aegis_governed_mesh_agent,58.693
gemma,open_model_a,aegis_governed_mesh_agent,58.894
gemma,open_model_a,aegis_governed_mesh_agent,57.976
gemma,open_model_a,aegis_governed_mesh_agent,61.38
gemma,open_model_a,aegis_governed_mesh_agent,68.526
gemma,open_model_a,aegis_governed_mesh_agent,64.306
gemma,open_model_a,aegis_governed_mesh_agent,59.949
gemma,open_model_a,aegis_governed_mesh_agent,63.252
gemma,open_model_a,aegis_governed_mesh_agent,66.037
gemma,open_model_a,aegis_governed_mesh_agent,66.814
gemma,open_model_a,aegis_governed_mesh_agent,68.55
gemma,open_model_a,aegis_governed_mesh_agent,62.112
gemma,open_model_a,aegis_governed_mesh_agent,60.923
gemma,open_model_a,aegis_governed_mesh_agent,58.753
gemma,open_model_a,aegis_governed_mesh_agent,66.083
gemma,open_model_a,aegis_governed_mesh_agent,65.451
gemma,open_model_a,aegis_governed_mesh_agent,58.994
gemma,open_model_a,aegis_governed_mesh_agent,60.576
gemma,open_model_a,aegis_governed_mesh_agent,134.796
gemma,open_model_a,aegis_governed_mesh_agent,60.211
gemma,open_model_a,aegis_governed_mesh_agent,61.084
gemma,open_model_a,aegis_governed_mesh_agent,61.231
gemma,open_model_a,aegis_governed_mesh_agent,66.567
gemma,open_model_a,aegis_governed_mesh_agent,67.135
gemma,open_model_a,aegis_governed_mesh_agent,62.934
gemma,open_model_a,aegis_governed_mesh_agent,76.287
gemma,open_model_a,aegis_governed_mesh_agent,64.868
frontier_temp0,frontier_model_a,aegis_governed_mesh_agent,63.677
frontier_temp0,frontier_model_a,aegis_governed_mesh_agent,21.566
frontier_temp0,frontier_model_a,aegis_governed_mesh_agent,21.892
