run_label,paper_model_label,condition,aegis_decision_ms
stubbed,stub_model,aegis_governed_mesh_agent,69.226
stubbed,stub_model,aegis_governed_mesh_agent,24.698
stubbed,stub_model,aegis_governed_mesh_agent,22.785
stubbed,stub_model,aegis_governed_mesh_agent,22.765
stubbed,stub_model,aegis_governed_mesh_agent,23.671
stubbed,stub_model,aegis_governed_mesh_agent,24.539
stubbed,stub_model,aegis_governed_mesh_agent,24.128
stubbed,stub_model,aegis_governed_mesh_agent,25.137
stubbed,stub_model,aegis_governed_mesh_agent,27.745
stubbed,stub_model,aegis_governed_mesh_agent,23.755
stubbed,stub_model,aegis_governed_mesh_agent,23.634
stubbed,stub_model,aegis_governed_mesh_agent,22.898
stubbed,stub_model,aegis_governed_mesh_agent,22.23
stubbed,stub_model,aegis_governed_mesh_agent,21.772
stubbed,stub_model,aegis_governed_mesh_agent,23.112
stubbed,stub_model,aegis_governed_mesh_agent,23.614
stubbed,stub_model,aegis_governed_mesh_agent,22.504
stubbed,stub_model,aegis_governed_mesh_agent,22.681
stubbed,stub_model,aegis_governed_mesh_agent,22.432
stubbed,stub_model,aegis_governed_mesh_agent,24.025
stubbed,stub_model,aegis_governed_mesh_agent,23.131
stubbed,stub_model,aegis_governed_mesh_agent,24.386
stubbed,stub_model,aegis_governed_mesh_agent,23.688
stubbed,stub_model,aegis_governed_mesh_agent,24.361
stubbed,stub_model,aegis_governed_mesh_agent,24.051
stubbed,stub_model,aegis_governed_mesh_agent,24.674
stubbed,stub_model,aegis_governed_mesh_agent,23.949
stubbed,stub_model,aegis_governed_mesh_agent,23.216
stubbed,stub_model,aegis_governed_mesh_agent,24.953
stubbed,stub_model,aegis_governed_mesh_agent,27.392
stubbed,stub_model,aegis_governed_mesh_agent,22.346
stubbed,stub_model,aegis_governed_mesh_agent,23.247
stubbed,stub_model,aegis_governed_mesh_agent,23.252
stubbed,stub_model,aegis_governed_mesh_agent,22.966
stubbed,stub_model,aegis_governed_mesh_agent,23.612
stubbed,stub_model,aegis_governed_mesh_agent,22.622
stubbed,stub_model,aegis_governed_mesh_agent,21.817
stubbed,stub_model,aegis_governed_mesh_agent,22.122
stubbed,stub_model,aegis_governed_mesh_agent,22.833
stubbed,stub_model,aegis_governed_mesh_agent,23.642
stubbed,stub_model,aegis_governed_mesh_agent,23.226
stubbed,stub_model,aegis_governed_mesh_agent,25.537
gemma,open_model_a,aegis_governed_mesh_agent,258.824
gemma,open_model_a,aegis_governed_mesh_agent,33.892
gemma,open_model_a,aegis_governed_mesh_agent,33.688
gemma,open_model_a,aegis_governed_mesh_agent,34.079
gemma,open_model_a,aegis_governed_mesh_agent,28.882
gemma,open_model_a,aegis_governed_mesh_agent,35.237
gemma,open_model_a,aegis_governed_mesh_agent,35.223
gemma,open_model_a,aegis_governed_mesh_agent,28.697
gemma,open_model_a,aegis_governed_mesh_agent,26.398
gemma,open_model_a,aegis_governed_mesh_agent,28.68
gemma,open_model_a,aegis_governed_mesh_agent,32.582
gemma,open_model_a,aegis_governed_mesh_agent,25.252
gemma,open_model_a,aegis_governed_mesh_agent,26.569
gemma,open_model_a,aegis_governed_mesh_agent,27.434
gemma,open_model_a,aegis_governed_mesh_agent,22.394
gemma,open_model_a,aegis_governed_mesh_agent,23.923
gemma,open_model_a,aegis_governed_mesh_agent,26.815
gemma,open_model_a,aegis_governed_mesh_agent,74.936
gemma,open_model_a,aegis_governed_mesh_agent,27.931
gemma,open_model_a,aegis_governed_mesh_agent,28.592
gemma,open_model_a,aegis_governed_mesh_agent,26.928
