aegis_decision_ms,condition,paper_model_label,run_label
273.506,aegis_governed_mesh_agent,open_model_a,gemma
69.047,aegis_governed_mesh_agent,open_model_a,gemma
69.333,aegis_governed_mesh_agent,open_model_a,gemma
64.326,aegis_governed_mesh_agent,open_model_a,gemma
75.38,aegis_governed_mesh_agent,open_model_a,gemma
77.381,aegis_governed_mesh_agent,open_model_a,gemma
57.634,aegis_governed_mesh_agent,open_model_a,gemma
71.124,aegis_governed_mesh_agent,open_model_a,gemma
58.693,aegis_governed_mesh_agent,open_model_a,gemma
58.894,aegis_governed_mesh_agent,open_model_a,gemma
57.976,aegis_governed_mesh_agent,open_model_a,gemma
61.38,aegis_governed_mesh_agent,open_model_a,gemma
68.526,aegis_governed_mesh_agent,open_model_a,gemma
64.306,aegis_governed_mesh_agent,open_model_a,gemma
59.949,aegis_governed_mesh_agent,open_model_a,gemma
63.252,aegis_governed_mesh_agent,open_model_a,gemma
66.037,aegis_governed_mesh_agent,open_model_a,gemma
66.814,aegis_governed_mesh_agent,open_model_a,gemma
68.55,aegis_governed_mesh_agent,open_model_a,gemma
62.112,aegis_governed_mesh_agent,open_model_a,gemma
60.923,aegis_governed_mesh_agent,open_model_a,gemma
58.753,aegis_governed_mesh_agent,open_model_a,gemma
66.083,aegis_governed_mesh_agent,open_model_a,gemma
65.451,aegis_governed_mesh_agent,open_model_a,gemma
58.994,aegis_governed_mesh_agent,open_model_a,gemma
60.576,aegis_governed_mesh_agent,open_model_a,gemma
134.796,aegis_governed_mesh_agent,open_model_a,gemma
60.211,aegis_governed_mesh_agent,open_model_a,gemma
61.084,aegis_governed_mesh_agent,open_model_a,gemma
61.231,aegis_governed_mesh_agent,open_model_a,gemma
66.567,aegis_governed_mesh_agent,open_model_a,gemma
67.135,aegis_governed_mesh_agent,open_model_a,gemma
62.934,aegis_governed_mesh_agent,open_model_a,gemma
76.287,aegis_governed_mesh_agent,open_model_a,gemma
64.868,aegis_governed_mesh_agent,open_model_a,gemma
